Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Additional information (product.metafields.custom.additional_information),Condition (product.metafields.custom.condition),Designer (product.metafields.custom.designer),Dimensions (product.metafields.custom.dimensions),Key features (product.metafields.custom.key_features),Manufacturer (product.metafields.custom.manufacturer),Perfect for (product.metafields.custom.perfect_for),SEOWILL Badge ID (product.metafields.custom.seowill_badge_id),Shipping & pickup (product.metafields.custom.shipping_pickup),SLOY quality standard (product.metafields.custom.sloy_quality_standard),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Backrest type (product.metafields.shopify.backrest-type),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Furniture/Fixture features (product.metafields.shopify.furniture-fixture-features),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Light temperature (product.metafields.shopify.light-temperature),Outdoor furniture items included (product.metafields.shopify.outdoor-furniture-items-included),Seat structure (product.metafields.shopify.seat-structure),Seat type (product.metafields.shopify.seat-type),Upholstery material (product.metafields.shopify.upholstery-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
brutalist-coat-rack-adam-lozykowski-fused-glass,Brutalist coat rack | Adam Łożykowski | Fused glass,"<p>A wall-mounted coat rack designed by Adam Łożykowski, combining fused glass with cast iron. The piece exemplifies brutalist principles applied to functional objects – raw materiality, uncompromising weight, and deliberate visual tension between components.

The glass element is produced through fusing, a technique where glass sheets are heated in a kiln until they bond at molecular level. This process yields unpredictable surface textures and depth variations inherent to handwork. The cast iron provides structural anchoring and three hooks for practical use.</p><p>Fusing is a glass art technique where different pieces of glass are heated in a kiln until they melt and fuse together into a single piece. Artists can layer various colors and forms of compatible glass to create intricate patterns, images, or abstract designs. The temperature and heating schedule are carefully controlled to achieve different effects, from a smooth, fully fused surface to a more textured, tacked appearance.</p>",,,,,true,Title,Default Title,,,,,,,,AKC-151,0,shopify,0,deny,manual,900,,true,true,,,,,,https://drive.google.com/uc?export=view&id=1ylLNs40SD0q-CDwMK-BrDjMXGjfgJV5v,1,,false,,,,,,,,,,,,,,,"Unused. No chips, scratches, or handling marks on glass surface. Cast iron without oxidation. Arrives as produced.","Adam Łożykowski is a Polish artist who specializes in glass art. He is known for his mastery of the fusing technique, which involves layering and melting glass to create intricate designs and textures. His work often explores the interplay of light, color, and form, resulting in unique and evocative sculptures.",50 × 10 × 2.5 cm (19.7 × 4 × 1 inches),"Designer: Adam Łożykowski
Materials: Fused glass, cast iron
Hooks: 3
Mounting: Wall-mounted",,"Entryways requiring a singular sculptural element
Interiors where brutalist or raw material aesthetics dominate
Spaces that can accommodate visual and physical weight
Collections of contemporary Polish craft and design",,"Free local pickup available (Kraków, Poland)
Shipping cost calculated individually based on your location
Contact us before purchase for a shipping quote",All vintage objects are carefully inspected and cleaned before sale. We ensure every piece meets our standards for authenticity and condition.,,,,,,,,,,,,,,,,,,,,active
brutalist-coat-rack-adam-lozykowski-fused-glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1CN0N9mYeSJ3Z6bcVkYUf46dzgh201Emx,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutalist-coat-rack-adam-lozykowski-fused-glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1M1K2-o4yPn-7fpcIway1dW9QUVBjS5wW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutalist-coat-rack-adam-lozykowski-fused-glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1zhTGntlpIDfW10FSQXH_FSK4jFOYbZkT,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutalist-coat-rack-adam-lozykowski-fused-glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1N-_w3wxQ6blsSdNdXxL9a1DOvTIDdG-Q,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutalist-coat-rack-adam-lozykowski-fused-glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1BYN_pnItcTLVyG6GsAmOZA_RNfn95mpF,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutalist-coat-rack-adam-lozykowski-fused-glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1WilQJ2HRp9HIU-ToMbKrymkz1liV1JHv,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutalist-coat-rack-adam-lozykowski-fused-glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1LVqdP4jYd3EmSXDhuMovTcrY9WyKeaqM,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutalist-coat-rack-adam-lozykowski-fused-glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1xTIwOZ8l5q1mBp3ubVkJQqhMLNmgCP_l,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutalist-coat-rack-adam-lozykowski-fused-glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1IlnppixE5m20LjrOt0m50nL7TWyNxAMi,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desk-organizer-herlitz-big-butler-1980s90s,"Desk organizer | Herlitz Big Butler, 1980s–90s","<p>A multi-function desk organizer produced by Herlitz, the German stationery manufacturer established in Berlin in 1904. The Big Butler consolidates five office functions into a single injection-molded unit – a compact solution reflecting the organizational logic of late 20th-century workspace design.</p><p>This is pre-digital efficiency: no software updates, no notifications, no power requirements. Each component serves a discrete purpose without redundancy.</p><p>The desk organizer emerged as a typology to solve a fundamental problem: the modern office generates clutter requiring systematic management. Multi-function units like the Big Butler consolidated disparate tools into a single footprint, imposing order while conserving desk space. Before digital tools absorbed these functions into screens, physical organization was essential to productivity. This approach reflects principles still valued in workspace design: reducing visual noise and creating clear zones for specific tasks. Today, these objects find renewed relevance among those seeking analog rituals within digital workflows.</p>",,,,,true,Title,Default Title,,,,,,,,AKC-136,0,shopify,0,deny,manual,170,,true,true,,,,,,https://drive.google.com/uc?export=view&id=1so4gyWB7HViC5Dsd0oN6arX_lT1metYx,1,,false,,,,,,,,,,,,,,,"Very good. All functions intact and operational. One flaw noted: visible adhesive residue mark on tape dispenser surface. No cracks, discoloration, or structural damage. Drawer slides smoothly. Calendar mechanism functions correctly.",,27.5 × 9 × 11 cm (10.8 × 3.5 × 4.3 inches),"Perpetual calendar – manual date display, indefinitely reusable
Pen and pencil organizer – vertical storage for writing instruments
Tape dispenser – integrated cutter mechanism
Pull-out drawer – small-item storage (clips, stamps, erasers)
Memo card holder – accessible slot for notes or business cards","Herlitz AG, founded in Berlin in 1904 by Carl Herlitz, grew into one of Europe's largest office supply manufacturers. The company specialized in paper goods, writing instruments, filing systems, and desk accessories – functional products built for workplace reliability. By the 1980s, Herlitz operated production facilities across Germany with dominant European market presence. In 2014, the company was acquired by Pelikan Holding AG.","Home offices favoring tactile, screen-free tools
Workspaces with vintage or retro-modernist aesthetics
Studios where functional simplicity supports creative work
Collections of 20th-century office design and industrial plastics",,"Free local pickup available (Kraków, Poland)
Shipping cost calculated individually based on your location
Contact us before purchase for a shipping quote",All vintage objects are carefully inspected and cleaned before sale. We ensure every piece meets our standards for authenticity and condition.,,,,,,,,,,,,,,,,,,,,active
desk-organizer-herlitz-big-butler-1980s90s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1EDmWB1FQXGQKRnqKKHD6rB72th1i_QFn,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desk-organizer-herlitz-big-butler-1980s90s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1MFndXBwWGrprY-p6wLBlGYl56XOthjof,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desk-organizer-herlitz-big-butler-1980s90s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1tBnYPDw6vhIFmFkFLEuTD_6GRpy_NyUO,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desk-organizer-herlitz-big-butler-1980s90s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=13hy5SYzUQ5wlriuQ3JKJ_P4idlc7uqH_,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desk-organizer-herlitz-big-butler-1980s90s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=11pdqXF0t9syub6JDOKXdZIrAcV04_clC,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desk-organizer-herlitz-big-butler-1980s90s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=11ynU9f8Lk1YToLSBcSiPmPaw5vmyPfBM,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desk-organizer-herlitz-big-butler-1980s90s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=13Pijry0yXY3nKO4N04848ate3Fgi2eCg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desk-organizer-herlitz-big-butler-1980s90s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1tTEPfIIxWf3vvj7pCAT8d-4dKpB3sRfO,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desk-organizer-herlitz-big-butler-1980s90s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1kg7gXexbagi41BNFCiTZCkc_O5YmKwY6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desk-organizer-herlitz-big-butler-1980s90s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1QZrP7RSVzh32xiVh76xRGIRZFFEYO8Hl,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driade-waterfall-coffee-table-fredrikson-stallard,Driade Waterfall coffee table | Fredrikson Stallard,"<p>Designed in 2012 by Fredrikson Stallard for Driade, the Waterfall table interrogates the conventions of static furniture forms. The tabletop does not remain flat – it folds inward at the centre, creating a dramatic void that suggests material caught mid-collapse. This is not surface decoration but structural concept: the form itself carries the meaning.</p><p>Executed in Baydur® polyurethane, a rigid high-density material that permits complex geometries while maintaining durability, the piece achieves an unlikely balance between visual drama and functional stability. The blue lacquer finish amplifies the sculptural reading, presenting the object as a singular mass rather than an assembly of parts.</p><p>Designed in 2012. Baydur® is a structural polyurethane system developed by Bayer MaterialScience, valued in furniture production for its rigidity, surface quality, and ability to render complex forms in a single mould. The Waterfall table belongs to a broader movement in 2010s design exploring furniture as sculptural object rather than purely utilitarian form.</p>",,,,,true,Title,Default Title,,,,,,,,MEB-142,0,shopify,0,deny,manual,6000,,true,true,,,,,,https://drive.google.com/uc?export=view&id=13g1iBkNm0IXKPYPEvopfqsnAbH_-UcGi,1,,false,,,,,,,,,,,,,,,Very good. Surface exhibits scratches and a few small paint chips. No cracks present. Structure is solid and stable.,"Fredrikson Stallard – British-Swedish design duo founded in 2005 by Patrik Fredrikson and Ian Stallard. Known for sculptural furniture that operates at the boundary between design and art. Their work is held in permanent collections including the Victoria and Albert Museum, London.",216 × 60 × 34 cm,"Central void created by inward-folding surface
Monolithic Baydur® polyurethane construction
Blue lacquer finish","About Driade: Founded in 1968 in Piacenza, Italy, Driade is a prestigious furniture manufacturer known for collaborating architects and designers including Philippe Starck, Enzo Mari, and Tokujin Yoshioka. Driade has consistently positioned itself at the experimental edge of Italian industrial design.","Entrance halls,
Gallery corridors
Minimal interiors where the sculptural silhouette can occupy space without competition
Admirers of modern design",,"Free local pickup available (Kraków, Poland)
Shipping cost calculated individually based on your location
Contact us before purchase for a shipping quote",All vintage furniture is professionally cleaned and inspected before sale. We ensure every piece is ready to enjoy.,,,,,,,,,,,,,,,,,,,,active
driade-waterfall-coffee-table-fredrikson-stallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=17MxfKrjoR2HqlXeAo4QVudZKw6ch87jd,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driade-waterfall-coffee-table-fredrikson-stallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1ZyaCQ0IKGrzPIq7tbCJjAWajg3lqNrIm,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driade-waterfall-coffee-table-fredrikson-stallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1yXC0Ui6vuzkFRS4TR0XKVqKqXmJHn8nk,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driade-waterfall-coffee-table-fredrikson-stallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1D1dbyZW-rfgXTZ27tl6SnM0UvjDr6vMw,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driade-waterfall-coffee-table-fredrikson-stallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1NtmEpn7HsLxQ8CkwTpDLmSudzmACmRrd,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driade-waterfall-coffee-table-fredrikson-stallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1ywqkoF1cMsa8gY5h6woE038HueYDOTVR,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driade-waterfall-coffee-table-fredrikson-stallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1LmnkYXuOWExMpZdIht_6qs-15Xig_VVa,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driade-waterfall-coffee-table-fredrikson-stallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1cmT7jcY8MKS01myyqJcR_fpWWXQLherT,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driade-waterfall-coffee-table-fredrikson-stallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1CCVPDCD-d19cICAkCO5hjMXdMkSh1RWt,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driade-waterfall-coffee-table-fredrikson-stallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1rEGmT9K0y1De-bQ06MTbvzOtksqKQ9GV,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driade-waterfall-coffee-table-fredrikson-stallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1Wx8vzmn43Qp9ogUs22J6xR5q7m9qGtfl,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driade-waterfall-coffee-table-fredrikson-stallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1gFPHG5RWPLHnc_u-U-pR-4EXREOkHzZn,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driade-waterfall-coffee-table-fredrikson-stallard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1bYTppZZMncyPmZVyjY8fF3O9UfSqlzhT,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
